inspection_id,name,aka_name,facility_type,risk,address,city,state,zip,date,inspection_type,results,violations,latitude,longitude,location
1583329,SPIAGGIA PRIVATE DINING ROOMS,SPIAGGIA PRIVATE DINING ROOMS,Restaurant,Risk 1 (High),980 N MICHIGAN AVE ,CHICAGO,IL,60611,10/22/2015,Canvass,Pass,"35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: DETAIL CLEAN WALLS IN PREP AREAS AS NEEDED.  | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: MUST REPLACE THE BURNED OUT LIGHT BULB UNDER THE VENTILATION HOOD ABOVE THE COOKING EQUIPMENT.  ",41.900801649451964,-87.6242724679302,"(-87.6242724679302, 41.90080164945196)"
1995932,Edge of Sweetness,Edge of Sweetness,Bakery,Risk 1 (High),6034 N Broadway ,CHICAGO,IL,60660,03/21/2017,License,Pass,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: NO SPLASH GUARD PROVIDED AT EXPOSED HAND SINK FRONT PREP/SERVING AREA BY THE COFFEE STATION.INSTRUCTED TO INSTALL  SPLASH GUARD ON BOTH SIDE OF THE EXPOSED HAND SINK. SURFACE MUST BE SMOOTH,CLEANABLE AND NON-ABSORBENT SURFACE. RUSTY SHELVES INSIDE  THE THREE DOOR REACH-IN COOLER ACROSS FROM PREP TABLE IN THE KITCHEN,REPLACE.SURFACE MUST BE SMOOTH CLEANABLE AND NON-ABSORBENT SURFACE",41.99184288216862,-87.66047142116385,"(-87.66047142116385, 41.99184288216862)"
1361183,HILTON GARDEN INN CHICAGO DOWN,HILTON GARDEN INN,Restaurant,Risk 1 (High),10 E GRAND AVE ,CHICAGO,IL,60611,09/24/2013,Canvass Re-Inspection,Pass,,41.8917914631124,-87.62765774119987,"(-87.62765774119987, 41.8917914631124)"
1372350,Madison Street Cafe,Madison Street Cafe,Restaurant,Risk 1 (High),70 W MADISON ST ,CHICAGO,IL,60602,01/14/2014,Canvass,Fail,"16. FOOD PROTECTED DURING STORAGE, PREPARATION, DISPLAY, SERVICE AND TRANSPORTATION - Comments: TOP PORTION OF SNEEZE GUARD IS MISSING, EXPOSING OPEN FOOD TO CUSTOMER'S CONTAMINATION. INSTRUCTED MGR TO INSTALL AND MAINATIN. | 21. * CERTIFIED FOOD MANAGER ON SITE WHEN POTENTIALLY HAZARDOUS FOODS ARE  PREPARED AND SERVED - Comments: NO CERTIFIED FOOD AND SANITATION MGR ON SITE WHILE HANDLING AND SERVING POTENTIALLY HAZARDOUS FOODS. INSTRUCTED TO OBTAIN. | 26. ADEQUATE NUMBER, CONVENIENT, ACCESSIBLE, PROPERLY DESIGNED AND INSTALLED - Comments: IMPROPER USAGE OF HAND WASH SINK, OBSERVED EMPLOYEE RINSING FRYING PAN SEVERAL TIMES IN THE FRONT BREAKFAST STATION HAND SINK, INSTRUCTED NOT TO USE THE EXPOSED HAND SINK FOR OTHER THAN HANDS WASHING. | 30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: BULK-FOOD CONTAINERS NOT LABELED, INSTRUCTED TO LABEL AND MAINTAIN. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: DELI MEAT SLICER NOT CLEANED PROPERLY, FOUND FOOD DEBRIS STUCK ON BLADE COVER, INSTRUCTED TO TO CLEAN AND MAINTAIN. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: DROP CEILING PANEL ABOVE PREP TABLE NOT PLACED PROPERLY WITH HEAVY DUST AND LOOSE TAPE, INSTRUCTED TO REPAIR.",41.88209336730132,-87.63039164462683,"(-87.63039164462683, 41.882093367301316)"
2268761,LOUISA MAY ALCOTT,LOUISA MAY ALCOTT,School,Risk 1 (High),2625 N Orchard (700W) ,CHICAGO,IL,60614,03/01/2019,Canvass,Pass,"28. TOXIC SUBSTANCES PROPERLY IDENTIFIED, STORED, & USED - Comments: OBSERVED FOOD HANDLER PERSONAL BAG, WINTER COAT, ETC. STORED ON BULK FOOD STORAGE BIN IN REAR DRY STORAGE AREA AND MAIN KITCHEN PREP AREAS.  INFORMED MANAGER THAT PERSONAL ITEMS MUST BE STORED IN EMPLOYEE DESIGNATED AREAS.   INSTRUCTED MANAGER TO REMOVE AND STORE PERSONAL ITEMS IN EMPLOYEE DESIGNATED AREAS.  MAINTAIN AT ALL TIMES. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED SELF CLOSING DEVICE ON EMPLOYEE BATHROOM ADJACENT TO DRY STORAGE ROOM NOT WORKING. INSTRUCTED MANAGER TO REPAIR. MAINTAIN AT ALL TIMES. ",41.92984626299402,-87.64633949131641,"(-87.6463394913164, 41.929846262994026)"
1115160,TARGET STORE # 1889,STARBUCKS,Restaurant,Risk 2 (Medium),1154 S CLARK ST ,CHICAGO,IL,60605,11/27/2013,Canvass,Pass w/ Conditions,"21. * CERTIFIED FOOD MANAGER ON SITE WHEN POTENTIALLY HAZARDOUS FOODS ARE  PREPARED AND SERVED - Comments: FOUND NO CITY OF CHICAGO CERTIFIED FOOD MANAGER ON SITE WHILE HANDLING/SERVING POTENTIALLY HAZARDOUS FOODS (I.E. BEEF, PORK, DAIRY, ETC.) INSTRUCTED TO HAVE ONE ON SITE AT ALL TIMES. SERIOUS VIOLATION 7-38-012 | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: MUST DETAIL CLEAN AND MAINTAIN THE INTERIOR OF THE FLOOR DRAINS AND FLOORS IN THE REAR STORAGE AREA. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: MUST DETAIL CLEAN AND MAINTAIN THE WALLS BEHIND THE COOLERS AND COOKING EQUIPMENT.",41.86757101543305,-87.63058647386144,"(-87.63058647386143, 41.86757101543305)"
2184624,CRAFT & BARREL,CRAFT & BARREL,Liquor,Risk 3 (Low),1433 W BELMONT AVE ,CHICAGO,IL,60657,07/16/2018,License Re-Inspection,Pass,,41.93963539333258,-87.6651419171776,"(-87.66514191717759, 41.93963539333258)"
2233157,AUTUMN GREEN AT MIDWAY VILLAGE,AUTUMN GREEN AT MIDWAY VILLAGE,Restaurant,Risk 1 (High),6700 S KEATING AVE ,CHICAGO,IL,60629,11/14/2018,Canvass,Fail,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: NO EMPLOYEE HEALTH POLICY IN PLACE. INSTD TO PROVIDE AND MAINTAIN. PRIORITY FOUNDATION 7-38-010 | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO PROCEDURE FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTD TO PROVIDE AND MAINTAIN. PRIORITY FOUNDATION VIOLATION 7-38-005 | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: NO HANDWASHING SINK AT 2ND FLOOR ASSISTED LIVING DINING AREA WHERE SERVING LINE/STEAM TABLE LOCATED AND RESIDENTS ARE SERVED. INSTD TO PROVIDE DESIGNATED 1-COMPARTMENT HANDSINK WITH HOT/COLD RUNNING WATER UNDER CITY PRESSURE. PRIORITY FOUNDATION 7-38-030(C). | 23. PROPER DATE MARKING AND DISPOSITION - Comments: VARIETY OF FOODS NOT PROPERLY LABELED, DATED (COOKED PASTA, CHILI, ETC.) FOOD PREPARED AND HELD FOR MORE THAN 24 HOURS SHALL BE CLEARLY MARKED TO INDICATE THE DAY OR DATE BY WHICH FOOD SHALL BE SOLD OR DISCARDED FOR A MAXIMUM OF 7 DAYS. PRIORITY FOUNDATION VIOLATION 7-38-005. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OVER 15 LIVE SMALL FLIES NOTED ON CEILINGS, WALLS AND FLYING NEAR ICE MACHINE AND DISHMACHINE. INSTD TO REMOVE ALL FLIES, CLEAN AND SANITIZE AFFECTED AREAS AND HAVE UPDATED PEST CONTROL SERVICE. CITATION ISSUED 7-38-020(A). PRIORITY FOUNDATION. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: CABINET UNDER STEAM TABLE IN PREP AREA IN POOR REPAIR, WORN,CRACKED SURFACE AND MISSING DOOR.  SELF SERVICE BEVERAGE STATION LEAKING UNDERNEATH. INSTD TO REPAIR AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: WALLBASE MISSING IN BOTH FOOD STAFF TOILET ROOMS. INSTD TO INSTALL AND MAINTAIN. ALL WALLS IN DISHMACHINE AREA (ABOVE AND BELOW DISHMACHINE) WITH WORN SURFACE AND BLACK SUBSTANCE ON WALLS. INSTD TO REPAIR/MAINTAIN WALLS, REMOVE BLACK MOLD LIKE SUBSTANCE.",41.771069588287695,-87.74052887602656,"(-87.74052887602656, 41.771069588287695)"
1324517,HOLIDAY BAR & GRILL,HOLIDAY BAR & GRILL,Restaurant,Risk 1 (High),740 W RANDOLPH ST ,CHICAGO,IL,60661,06/13/2013,Canvass,Pass,"33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: MUST CLEAN AND DEFROST INTERIOR OF WALK IN FREEZER TO REMOVE ICE BUILD UP. ALSO CLEAN INTERIOR OF ICE MACHINE. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: FLOORS INSIDE WALK IN COOLER NEEDS CLEANING ALONG WALL BASE AND IN CORNERS TO REMOVE DEBRIS.",41.88451685704581,-87.6473906819507,"(-87.64739068195071, 41.88451685704581)"
2116316,VIET HOA PLAZA,VIET HOA PLAZA,Grocery Store,Risk 2 (Medium),1051 W ARGYLE ST ,CHICAGO,IL,60640,11/28/2017,Canvass,Pass w/ Conditions,"3. POTENTIALLY HAZARDOUS FOOD MEETS TEMPERATURE REQUIREMENT DURING STORAGE, PREPARATION DISPLAY AND SERVICE - Comments: OBSERVED INADEQUATE FOOD TEMPERATURES. APPROXIMATELY 20 LBS OF DUCK EGGS IN THE WALK-IN COOLER RANGING IN TEMPERATURE BETWEEN 54.1 TO 51.8F. COOLER TEMPERATURE FOUND AT 41.7F WITH OTHER FOODS AT PROPER TEMPERATURE. EGGS DISCARDED. MANAGEMENT STATES ESTIMATED VALUE TO BE $120.00. CRITICAL VIOLATION 7-38-005(A). | 30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: ALL PRE-PACKAGED ITEMS SUCH AS FROZEN FISH, MUST BE PROPERLY LABELED WITH BUSINESS NAME, ADDRESS LIST OF INGREDIENTS. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: MUST NOT USE CARDBOARD AS MATTING FOR FLOORS IN THE MEAT PREP AREA. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: EXCESSIVE DUST ON THE WALL AND ELECTRICAL CORDS ABOVE THE MEAT PREP CUTTING TABLE. MUST CLEAN AND MAINTAIN. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: INSTRUCTED TO INSTALL AN EXPOSED HAND WASHING SINK WITH HOT AND COLD RUNNING WATER, SOAP AND PAPER TOWELS IN THE REAR PRODUCE PREP AND LARGE THREE COMPARTMENT SINK DISH AREA. | 40. REFRIGERATION AND METAL STEM THERMOMETERS PROVIDED AND CONSPICUOUS - Comments: MUST PROVIDE AN ACCURATE INTERNAL THERMOMETER FOR THE BASEMENT WALK-IN FREEZER OR REPAIR INACCURATE EXTERNAL THERMOMETER. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: MUST NOT STORE USED CARDBOARD BOXES BEHIND STORAGE SHELVING THROUGHOUT GROCERY AREA OR ANY OTHER AREAS. ALL ITEMS ON OUT DOOR REAR WALK-WAY MUST BE REMOVED FROM THE PREMISES TO PREVENT RODENT HARBORING.  EMPLOYEES MUST NOT STORE PERSONAL ITEMS, IE: BACK PACKS IN THE REAR DRY FOOD STORAGE SHELVING.",41.97317400978317,-87.65699233490793,"(-87.65699233490794, 41.973174009783165)"
