inspection_id,name,aka_name,facility_type,risk,address,city,state,zip,date,inspection_type,results,violations,latitude,longitude,location
2201125,AMAZING KABABS & GRILL,AMAZING KABABS & GRILL,Restaurant,Risk 1 (High),1316 N CLYBOURN AVE ,CHICAGO,IL,60610,08/17/2018,Complaint Re-Inspection,Pass w/ Conditions,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: 2-102.14(A)- OBSERVED NO EMPLOYEE HEALTH POLICY ON SITE. INSTRUCTED FACILITY TO COMPLY AND MAINTAIN. PRIORITY FOUNDATION VIOLATION 7-38-012(A). NO CITATION ISSUED. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: 2-501.11- FOUND NO PROCEDURES ON SITE FOR THE CLEAN UP OF VOMITING AND DIARRHEAL EVENTS. INSTRUCTED FACILITY TO PROVIDE AND MAINTAIN. PRIORITY FOUNDATION VIOLATION 7-38-005. NO CITATION ISSUED. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: 4-203.11- OBSERVED NO TEMPERATURE MEASURING DEVICES ON SITE AT TIME OF INSPECTION. INSTRUCTED SITE TO OBTAIN TEMPERATURE MEASURING DEVICES. MAINTAIN AT ALL TIMES. NO CITATION ISSUED. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: 3-602.11 (C) (C) OBSERVED TIME AND TEMPERATURE CONTROL FOR SAFETY FOODS NOT LABELED AND DATED, IN ALL COLD HOLDING UNITS. INSTRUCTED SITE TO PROPERLY LABEL AND DATE TCS FOODS WHENEVER STORED FOR MORE THAN 24 HOURS. MAINTAIN AT ALL TIMES. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CHOPPED BEEF STORED IN GROCERY BAGS IN DEEP FREEZER ADJACENT TO 3 4-101.11 (E)- COMPARTMENT SINK. INFORMED MANAGER THAT FOODS MUST BE STORED IN FOOD GRADE CONTAINERS. INSTRUCTED MANAGER TO STORE IN FOOD GRADE CONTAINERS. MAINTAIN AT ALL TIMES. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: 2-102.13- OBSERVED NO FOOD HANDLER REQUIREMENTS MET. INSTRUCTED TO MET. MAINTAIN AT ALL TIMES. | 58. ALLERGEN TRAINING AS REQUIRED - Comments: PA 100-0367- OBSERVED ALLERGEN AWARENESS CERTIFICATE NOT MAINTAINED. INSTRUCTED MANAGER TO OBTAIN ALLERGEN AWARENESS CERTIFICATES. NO CITATION ISSUED",41.90599707532198,-87.64288346529682,"(-87.64288346529682, 41.90599707532198)"
2241093,Red Lion Pub,Red Lion Pub,Restaurant,Risk 1 (High),2446 N LINCOLN AVE ,CHICAGO,IL,60614,12/05/2018,Canvass,Pass w/ Conditions,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: THE PERSON IN CHARGE UNABLE TO PROVIDE HEALTH EMPLOYEE POLICY. INSTRUCTED TO PROVIDE A HEALTH EMPLOYEE POLICY AND MAINTAIN. PRIORITY FOUNDATION VIOLATION 7-38-010. NO CITATION ISSUED. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: THE PERSON IN CHARGE UNABLE TO PROVIDE A PROCEDURE FOR EMPLOYEE TO FOLLOW WHEN RESPONDING TO VOMITING AND DIARRHEAL EVENTS. PRIORITY FOUNDATION VIOLATION. 7-38-005. NO CITATION ISSUED. | 23. PROPER DATE MARKING AND DISPOSITION - Comments: OBSERVED NO DATE MARKING ON TCS FOODS HELD MORE THAN 24 HOURS. INSTRUCTED TO PROVIDE AND MAINTAIN. PRIORITY FOUNDATION VIOLATION 7-38-005. NO CITATION ISSUED. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: MUST LABEL FOOD STORAGE CONTAINERS WHEN FOOD IS NOT IN THE ORIGINAL CONTAINER. | 41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: OBSERVED WIPING CLOTHS STORED ON TOP OF 3-COMPARTMENT SINK. INSTRUCTED TO PROPERLY STORE WIPING CLOTHS IN A SANITIZING SOLUTION WHEN NOT IN USED. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: BACKFLOW PREVENTER DEVICE NOT LOCATED AT THE ICE MACHINE AND SERVICE SINK. INSTRUCTED TO INSTALL SO THAT CON BE LOCATED TO BE SERVICED AND MAINTAINED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVER DIRT AND DEBRIS ON FLOOR IN REAR AREA NEAR TO EXIT DOOR. MUST CLEAN AND MAINTAIN. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: FOOD HANDLERS REQUIREMENTS NOT MET NO LOGS, RECORDS ON SITE AS REQUIRED. INSTRUCTED TO PROVIDE AND MAINTAIN. | 58. ALLERGEN TRAINING AS REQUIRED - Comments: OBSERVED NO CERTIFIED FOOD MANAGERS ON SITE WITH THE REQUIRED ALLERGEN TRAINING. INSTRUCTED THAT ALL CERTIFIED FOOD MANAGERS MUST COMPLETE ALLERGEN TRAINING REQUIREMENTS.",41.926401719585094,-87.65031152626854,"(-87.65031152626855, 41.926401719585094)"
1971130,SOUTHPORT AND IRVING,SOUTHPORT AND IRVING,Restaurant,Risk 1 (High),4000-4006 N SOUTHPORT AVE ,CHICAGO,IL,60613,11/09/2016,Canvass,No Entry,"30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: MUST LABEL ALL FOOD STORAGE CONTAINERS IN BASEMENT FOOD STORAGE AREA. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: OBSERVED DUST BUID-UP ON VENTILATION FANS INSIDE WALK-IN COOLERS. MUST CLEAN AND MAINTAIN. OBSERVED GREASE BUILD-UP ON WALL BEHIND AND NEXT TO COOKING EQUIPMENT IN FOOD PREPARATION AREA. MUST CLEAN AND MAINTAIN. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: OBSERVED EXPOSED HAND WASHING SINK IN FOOD PREPARATION AREA DRAINING SLOW. MUST REPAIR AND MAINTAIN. OBSERVED LEAKY FAUCET BASE AT THE 3-COMPARTMENT SINK LOCATED IN KITCHEN FOOD PREP AREA. MUST REPAIR AND MAINTAIN | 43. FOOD (ICE) DISPENSING UTENSILS, WASH CLOTHS PROPERLY STORED - Comments: OBSERVED WIPING CLOTHS STORED ON TOP OF PREP TABLES. MUST PROPERLY STORE WIPING CLOTHS IN A SANITIZING SOLUTION WHEN NOT IN USE.",41.95439962284546,-87.66436309454505,"(-87.66436309454507, 41.95439962284545)"
2135443,MELLOS CARRY OUTS,MELLOS CARRY OUTS,Restaurant,Risk 1 (High),2100 N CLARK ST ,CHICAGO,IL,60614,01/16/2018,Canvass Re-Inspection,Pass,"35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: OBSERVED GRASE ENCRUSTED ON FLOOR UNDER AROUND AND BEHING COOKING EQUIPMENT.MUST CLEAN AND MAINTAIN.   | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: OBSERVED BROKEN LIGHT SHIELD COVER ABOVE COOKING EQUIPMENT. MUST REPAIR OR REPLACE.",41.92021199673701,-87.63738590050112,"(-87.63738590050112, 41.92021199673701)"
1473363,CHICAGO BRAUHAUS INC,CHICAGO BRAUHAUS,Restaurant,Risk 1 (High),4732 N LINCOLN AVE ,CHICAGO,IL,60625,06/05/2014,Canvass Re-Inspection,Pass,"30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments:  Foods inside cooler not labeled or dated. Instructed to label and date all foods not in original container.   | 31. CLEAN MULTI-USE UTENSILS AND SINGLE SERVICE ARTICLES PROPERLY STORED: NO REUSE OF SINGLE SERVICE ARTICLES - Comments:  Multi use utensils not properly stored. Instructed to invert utensils to prevent contamination before use.   | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments:  Ice bins not protected or covered. Instructed to provide covers for all ice bins.   | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: Can opener attached to prep table and interior ice machine panel not clean. Instructed to detail clean and sanitize.   | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments:  Floor along wall base and in prep area not clean. Instructed to detail clean daily.   | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments:  Ventilation covers and ceiling around vents not clean. Instructed to detail clean vents and cleaning tile.  ",41.967360907565826,-87.68791398223213,"(-87.68791398223213, 41.96736090756583)"
1115052,PANDA EXPRESS #389,PANDA EXPRESS #389,Restaurant,Risk 1 (High),100 W RANDOLPH ST ,CHICAGO,IL,60601,10/03/2013,Canvass,Pass,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: MUST SEAL AND MAINTAIN THE HOLES IN THE BOTTOM SURFACE OF THE 1ST COMPARTMENT ON THE 2-COMP. SINK.  | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: MUST FIX AND MAINTAIN THE LEAKS AT THE BASE OF THE FAUCET AND COMING FROM THE BOTTOM OF THE 1ST COMPARTMENT ON THE 2-COMP. SINK.",41.88458626715457,-87.63101044588598,"(-87.63101044588599, 41.88458626715456)"
634806,S. F. BURGER,S. F. BURGER,Restaurant,Risk 1 (High),5254 W CHICAGO AVE ,CHICAGO,IL,60651,10/03/2011,License,Fail,"2. FACILITIES TO MAINTAIN PROPER TEMPERATURE - Comments: ALL COOLERS MUST MAINTAIN COLD HOLDING TEMPERATURE OF 40F OR BELOW AND FREEZER AT 0F AND BELOW. | 18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: NOTED GAP/OPENING AT THE BOTTOM OF FRONT ENTRANCE DOOR. INSTRUCTED TO RODENT-PROOFED BOTTOM OF THE SAID DOOR. | 19. OUTSIDE GARBAGE WASTE GREASE AND STORAGE AREA; CLEAN, RODENT PROOF, ALL CONTAINERS COVERED - Comments: INSTRUCTED TO PROVIDE (OUTSIDE) GARBAGE DISPOSAL COMPANY SERVICING ESTABLISHMENT. | 37. TOILET ROOM DOORS SELF CLOSING: DRESSING ROOMS WITH LOCKERS PROVIDED: COMPLETE SEPARATION FROM LIVING/SLEEPING QUARTERS - Comments: INSTRUCTED TO INSTALL SELF-CLOSING DEVICE AT TOILET ROOM DOOR. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: NOTED KITCHEN HOOD VENT NOT WORKING. INSTRUCTED TO FIX.----------MUST PROVIDE BACK FLOW PREVENTER DEVICE/VACUUM BREAKER AT MOP SINK FAUCET.----------MUST PROVIDE 3 WORKING DRAIN STOPPERS AT 3 COMPARTMENT SINK. | 40. REFRIGERATION AND METAL STEM THERMOMETERS PROVIDED AND CONSPICUOUS - Comments: INSTRUCTED TO PROVIDE THERMOMETER VISIBLE INSIDE ALL COOLERS AND FREEZER. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: INSTRUCTED TO REMOVE UNNECESSARY ARTICLES/CLUTTER IN REAR AREA AND CLUTTER IN REAR OUTSIDE AREA TO PREVENT RODENT AND INSECT HARBORAGE.",41.89502331496054,-87.75783480830064,"(-87.75783480830066, 41.89502331496054)"
1092819,THE BURRITO HOUSE,THE BURRITO HOUSE,Restaurant,Risk 1 (High),3547 N LINCOLN AVE ,CHICAGO,IL,60657,02/10/2014,Canvass,Pass,"30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: MUST LABEL ALL BULK FOOD STORAGE CONTAINERS IN FOOD PREP AREA. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: RUSTY FOOD STORAGE SHELVING INSIDE WALK-IN COOLER AND BASEMENT FOOD STORAGE AREA. MUST REPAINT OR REPLACE. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: BROKEN FLOOR TILES IN REAR PREP AREA AND BASEMENT FOOD STORAGE AREA. MUST REPAIR/REPLACE.",41.9465067559726,-87.6732703120244,"(-87.67327031202441, 41.9465067559726)"
2064996,SCOOTER'S FROZEN CUSTARD LLC,SCOOTER'S FROZEN CUSTARD LLC,Restaurant,Risk 2 (Medium),1658 W BELMONT AVE ,CHICAGO,IL,60657,06/26/2017,Canvass Re-Inspection,Pass,"34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: OBSERVED BOTTLES OF CHEMICALS STORED ON THE FLOOR UNDER THE HANDSINK. NOTED CRATES AND BOXES AND OTHER OFFICE SUPPLIES STORED ON THE FLOOR IN THE OFFICE AREA AND IN THE STAND ALONE CLOSET ON THE 1ST FLOOR. MUST ELEVATE THESE ITEMS TO BE AT LEAST 6 INCHES ABOVE THE FLOOR.",41.93977513614047,-87.67097530549955,"(-87.67097530549955, 41.93977513614047)"
2279832,ALTHEA BY MKC,ALTHEA,Restaurant,Risk 1 (High),700 N MICHIGAN AVE ,CHICAGO,IL,60611,03/21/2019,Complaint,Pass w/ Conditions,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: - OBSERVED NO CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE FOR THE PERSON IN CHARGE AT TIME OF INSPECTION. MUST PROVIDE. CHEF ON SITE HAS A RECIPROCITY RECEIPT FROM MALCOLM X COLLEGE DATED 2/5/19. THE DESIGNATED PERSON IN CHARGE, WHO IS ON SITE, MUST OBTAIN AND MAINTAIN A VALID CITY OF CHICAGO FOOD SERVICE SANITATION LICENSE.   PRIORITY FOUNDATION VIOLATION#:7-38-012. NO CITATION ISSUED.  | 3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: - NO VERIFIABLE EMPLOYEE HEALTH POLICY ON SITE. MUST PROVIDE.   PRIORITY FOUNDATION VIOLATION#: 7-38-010. NO CITATION ISSUED.  | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: - NO VOMITOUS AND DIARRHEAL INCIDENT CLEAN UP WRITTEN POLICY AND PHYSICAL KIT ON SITE. MUST PROVIDE.  PRIORITY FOUNDATION VIOLATION#: 7-38-005. NO CITATION ISSUED.  | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: - OBSERVED THE HANDWASH SINK IN THE FRONT PREP AREA BEING USED AS A PREP SINK TO RINSE OFF COOKING UTENSILS. A HANDWASH SINK MUST NOT BE USED FOR PURPOSES OTHER THAN HANDWASHING. FACILITY CORRECTED VIOLATION ON SITE BY REMOVING THE UTENSILS BEING RINSED OFF FROM THE HANDWASH SINK.   PRIORITY FOUNDATION VIOLATION#:7-38-030(C). CITATION ISSUED.  | 23. PROPER DATE MARKING AND DISPOSITION - Comments: - MUST PROVIDE PROPER LABELS FOR DATE MARKING THE PREPARATION AND CONSUME BY/DISCARD DATE OF ALL REFRIGERATED, READY-TO-EAT, TCS FOODS HELD OVER 24HRS.  PRIORITY FOUNDATION VIOLATION#: 7-38-005. NO CITATION ISSUED.  | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: - MUST PROVIDE THERMOMETERS THAT ARE CONSPICUOUSLY PLACED AND EASILY READABLE INSIDE ALL COOLERS AND HOT HOLD UNITS AND MAINTAIN AT ALL TIMES.  | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: - OBSERVED NO COPY OF THE PEST CONTROL PROVIDER'S BUSINESS LICENSE INSIDE THE PEST CONTROL LOG BOOK AT TIME OF INSPECTION. MUST PROVIDE. FACILITY CORRECTED VIOLATION ON SITE BY OBTAINING A COPY OF THE BUSINESS LICENSE AFTER INSPECTION WAS CONDUCTED.   PRIORITY FOUNDATION VIOLATION#:7-38-020(C). CITATION ISSUED. | 44. UTENSILS, EQUIPMENT & LINENS: PROPERLY STORED, DRIED, & HANDLED - Comments: - OBSERVED PRESET TABLEWARE IN THE DINING ROOM, UNCOVERED & EXPOSED TO POTENTIAL CONTAMINATION. MUST REMOVE/COVER/INVERT ALL FOOD CONTACT SURFACES OF PRESET TABLEWARE TO PREVENT POTENTIAL EXPOSURE TO CONTAMINATION.   | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: - OBSERVED RAW CEMENT BRICKS USED AT A STAND FOR THE OVEN IN THE FRONT PREP AREA. MUST REMOVE AND PROVIDE A NON-ABSORBENT, NON-CORROSIVE, SMOOTH, EASILY CLEANABLE SURFACE.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: - OBSERVED MILK CRATES BEING USED AS SHELVING THROUGHOUT FACILITY. MUST REMOVE AND PROVIDE SHELVING THAT IS 6' OFF THE FLOOR AND PROVIDES FLOOR ACCESSIBILITY TO ENSURE ADEQUATE FACILITY CLEANING.  | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: - MUST INSTALL A FOOD PREP SINK IN THE FRONT PREP AREA.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: - OBSERVED AN EXCESSIVE ACCUMULATION OF EQUIPMENT AND ARTICLES STORED DIRECTLY ON THE FLOOR IN THE REAR PREP AREA. MUST REMOVE ANY ARTICLES THAT ARE UNNECESSARY TO THE OPERATION, CLEAN AREA, ORGANIZE EQUIPMENT, AND STORE ALL ITEMS ON SHELVES 6' OFF THE FLOOR AND PROVIDE FLOOR ACCESSIBILITY TO ENSURE ADEQUATE FACILITY CLEANING.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: - OBSERVED AN EXCESSIVE ACCUMULATION OF DIRT AND FOOD DEBRIS ON THE FLOOR UNDER THE COOKING EQUIPMENT IN THE FRONT PREP AREA AND IN THE FLOOR DRAIN. MUST DETAIL CLEAN AND MAINTAIN.  | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: - OBSERVED AN ACCUMULATION OF GREASE BUILDUP ON THE KITCHEN HOOD EXHAUST VENTILATION. MUST DETAIL CLEAN AND MAINTAIN.  OBSERVED AN ACCUMULATION OF DIRT/DEBRIS BUILDUP ON THE TOILET ROOMS' EXHAUST VENTILATIONS. MUST DETAIL CLEAN AND MAINTAIN.  | 58. ALLERGEN TRAINING AS REQUIRED - Comments: - MUST PROVIDE ALLERGEN TRAINING CERTIFICATION FOR ALL CITY OF CHICAGO FOOD SERVICE MANAGERS.",41.89497951109999,-87.62439997045513,"(-87.62439997045513, 41.89497951109999)"
